School Code,Playing Years,Playing Often,Playing Hours,Parent Revenue,Father Education,Mother Education,Grade
6,4,1,4,1,4,4,100
6,0,0,0,3,4,5,100
6,4,3,3,4,6,4,100
6,3,2,3,3,6,6,100
6,4,5,5,4,4,4,70
6,3,5,2,3,6,5,100
6,0,0,0,3,5,3,100
6,0,0,0,3,5,4,100
6,3,2,2,4,6,6,100
6,1,5,2,4,6,5,100
6,3,1,3,3,5,5,100
6,0,0,0,4,6,5,90
6,3,5,2,2,4,4,100
7,0,0,0,0,4,4,95
7,1,2,1,0,5,3,100
7,3,2,1,0,5,5,100
7,3,2,2,0,4,3,85
7,2,5,1,0,4,5,90
7,0,0,0,0,4,4,100
7,0,0,0,0,5,4,90
7,0,0,0,0,5,5,100
7,1,5,1,0,5,5,100
7,1,5,1,0,4,4,86
7,3,2,1,0,5,5,90
7,3,5,3,0,3,3,90
7,3,5,1,0,5,5,100
7,3,4,3,0,5,5,100
7,1,2,2,0,4,4,95
7,2,2,1,0,5,5,100
7,3,2,3,0,3,3,100
7,0,0,0,0,5,4,100
7,0,0,0,0,6,6,100
7,2,5,3,0,4,5,100
7,1,4,1,0,6,6,100
7,2,3,2,0,5,4,90
7,2,4,3,0,5,5,100
7,2,3,3,0,4,2,85
7,1,4,1,0,5,5,100
7,0,0,0,0,4,4,100
7,1,5,1,0,3,2,100
7,0,0,0,0,5,6,100
7,0,0,0,0,5,5,100
7,0,0,0,0,4,3,95
7,4,5,3,0,4,4,100
7,1,3,1,0,2,2,100
7,4,5,1,0,5,5,100
7,0,0,0,0,4,5,98
7,1,5,1,0,4,4,97
7,0,0,0,0,5,5,100
7,1,4,2,0,4,4,100
7,0,0,0,0,6,6,100
7,0,0,0,0,5,5,90
7,4,5,3,0,4,4,97
7,0,0,0,0,5,3,97
8,0,0,0,1,3,3,75
8,1,1,1,2,4,3,65
8,1,5,1,1,4,2,56
8,3,4,3,2,3,2,50
8,3,2,2,3,3,3,72
8,2,5,2,2,4,3,87
8,0,0,0,3,4,4,67.5
8,0,0,0,3,4,4,80
8,0,0,0,2,2,2,80
8,1,3,1,2,5,3,85
8,0,0,0,2,2,2,95
8,1,4,2,1,3,1,60
8,0,0,0,1,3,3,90
8,0,0,0,2,4,4,100
8,4,1,1,1,4,4,90
8,0,0,0,2,4,4,75
8,0,0,0,3,3,4,87.5
8,2,4,2,2,4,3,95
8,0,0,0,1,4,2,87.5
8,0,0,0,1,3,2,90
8,0,0,0,1,5,2,90
8,0,0,0,1,4,4,83
8,3,3,3,2,4,2,85
8,0,0,0,2,4,2,77.5
8,2,3,2,2,2,2,65
8,0,0,0,2,5,3,95
8,1,3,1,1,3,3,75
8,2,2,2,3,4,2,75
8,0,0,0,2,3,2,95
8,2,3,1,2,3,5,82.5
8,2,4,1,2,2,3,60
8,2,5,4,1,3,2,40
8,0,0,0,2,4,4,65
8,3,5,1,2,4,4,78
8,2,4,3,2,4,4,75
8,0,0,0,2,4,2,85.5
8,2,3,1,2,4,4,70
8,4,3,3,2,4,2,80
8,2,3,3,2,2,2,65
8,1,4,2,3,4,2,67
8,2,2,2,3,5,5,50
8,1,2,2,1,3,2,50
8,2,5,1,1,2,2,33
8,1,4,1,1,5,3,90
8,3,5,2,1,4,2,85.3
8,1,1,1,2,4,2,52
8,0,0,0,2,4,3,53
8,1,4,1,2,4,4,70
8,0,0,0,2,4,4,70.5
8,1,4,2,2,4,3,70
8,1,5,2,4,2,1,49.53
8,1,2,2,2,4,4,68
8,2,1,2,2,4,4,50
8,0,0,0,2,2,2,80.5
8,2,3,2,2,2,2,72.1
8,2,3,3,1,2,3,40
8,2,2,1,2,3,3,80.33
8,2,3,3,2,0,3,90
8,3,1,3,2,4,4,92.5
8,1,5,1,2,4,3,92.5
8,3,1,4,4,5,4,60
8,2,5,3,3,4,5,56.5
8,4,2,4,2,4,4,95
8,0,0,0,1,4,2,92
8,0,0,0,2,3,4,75
8,2,3,2,2,2,3,65
8,1,5,1,1,2,1,80
8,3,5,1,1,4,2,90
8,0,0,0,1,3,4,95
8,0,0,0,1,4,2,80
8,2,5,1,2,3,1,70
8,2,3,2,1,3,3,55
8,1,5,1,1,4,3,72.5
8,1,1,4,1,3,3,55
8,0,0,0,1,4,4,96
8,0,0,0,2,4,4,72
8,0,0,0,2,3,2,80
8,3,2,1,3,5,4,80
8,2,5,1,2,4,6,100
8,0,0,0,1,2,2,75
8,0,0,0,3,3,4,94.5
8,0,0,0,1,3,1,60
8,0,0,0,1,2,4,90
8,0,0,0,1,3,2,50
8,0,0,0,1,3,4,75
8,0,0,0,1,2,2,60
8,0,0,0,2,3,4,80
8,0,0,0,2,4,2,50
8,0,0,0,1,5,2,85
8,0,0,0,2,2,4,89
8,0,0,0,2,3,2,85
8,1,5,1,1,3,2,80
8,0,0,0,2,3,3,95
8,1,1,1,4,4,4,70
8,3,1,3,3,2,3,65
8,0,0,0,1,3,2,45
8,0,0,0,2,4,5,60
8,3,4,4,1,2,3,85
8,0,0,0,3,3,3,75.6
8,2,1,3,3,5,5,79.8
8,2,5,2,2,2,4,70
8,0,0,0,1,2,2,88
8,0,0,0,2,2,2,74
8,2,5,1,3,4,4,80
8,2,3,2,2,3,2,60
8,0,0,0,1,1,1,75
8,0,0,0,1,3,4,85
8,3,1,3,2,5,5,79
8,3,1,4,2,6,4,90
8,2,4,3,2,4,3,87
8,1,1,1,1,5,2,55
8,0,0,0,3,3,4,98
8,1,4,1,2,5,4,80
8,0,0,0,1,4,2,67
8,2,1,4,2,4,3,75
8,1,1,1,2,2,3,75
8,3,3,2,1,2,3,90
8,2,2,2,2,4,3,67.5
9,0,0,0,0,4,3,100
9,0,0,0,0,4,4,80
9,0,0,0,0,6,6,100
9,1,5,1,0,4,3,100
9,0,0,0,0,6,6,100
9,0,0,0,0,5,3,85
9,0,0,0,0,5,6,100
9,0,0,0,0,5,5,100
9,0,0,0,0,5,5,100
9,4,5,3,0,5,5,100
9,2,4,2,0,5,5,90
9,2,4,2,0,5,5,100
9,0,0,0,0,4,3,100
9,0,0,0,0,5,3,100
9,0,0,0,0,6,6,100
9,0,0,0,0,5,6,100
9,0,0,0,0,6,6,100
9,0,0,0,0,5,5,100
9,2,5,2,0,6,6,100
9,0,0,0,0,5,5,85
9,3,5,1,0,5,5,100
9,4,4,3,0,5,5,100
9,2,5,1,0,5,4,80
9,4,2,2,0,6,5,100
9,0,0,0,0,3,3,100
9,0,0,0,0,3,4,100
9,1,4,1,0,5,5,100
9,0,0,0,0,5,5,90
9,1,5,1,0,4,4,100
9,0,0,0,0,5,5,100
9,2,2,1,0,5,4,80
9,1,1,1,0,5,5,100
9,4,1,2,0,3,3,60
9,1,3,1,0,4,4,100
9,2,5,1,0,3,3,60
9,0,0,0,0,4,4,100
9,0,0,0,0,5,4,100
9,3,4,1,0,5,5,100
9,0,0,0,0,4,4,100
9,3,5,3,0,5,5,85
9,3,1,2,0,5,5,70
9,1,1,4,0,5,5,100
9,0,0,0,0,4,4,100
9,2,3,2,0,6,6,98.5
9,0,0,0,0,4,4,100
9,0,0,0,0,5,5,100
9,4,1,2,0,5,4,100
9,4,5,5,0,5,6,100
10,0,0,0,2,4,4,80
10,0,0,0,2,4,3,84
10,0,0,0,1,4,4,95.33
10,4,3,1,2,4,2,87
10,1,5,1,4,4,2,90
10,1,5,1,1,3,4,45
10,0,0,0,2,4,2,90
10,4,3,1,1,3,4,65
10,0,0,0,2,5,2,100
10,1,5,1,3,6,5,98
10,0,0,0,1,3,1,63
10,1,3,1,2,3,3,70
10,0,0,0,2,3,4,75
10,0,0,0,4,4,5,80
10,0,0,0,3,3,3,62
10,0,0,0,3,4,2,80
10,0,0,0,2,4,4,67
10,2,5,2,4,3,3,72.5
10,0,0,0,1,2,3,46.5
10,3,5,3,1,3,4,80
10,3,3,3,3,5,5,90
10,3,5,5,3,5,4,90
10,4,1,2,3,4,2,63
10,3,4,1,3,3,3,70
10,3,5,2,1,4,3,77
10,3,4,3,2,3,4,96
10,1,2,3,2,5,4,70
